npc_id,npc_name,role,grade,region,location,affiliation,level_recommend,interaction_type,quest_id,shop_id,dialogue_set,default_mood,schedule,relationship_start,relationship_max,favorite_gift,disliked_gift,service_1,service_2,unlock_condition,designer_note
NPC101,하림,마을 대표,주요,은방울 마을,마을 광장,은방울 마을,18,대화/퀘스트,QST_SILVERBELL_MAIN_001,,DLG_HARIN_MAIN,차분함,상시,0,100,은방울 꽃다발,검댕 깃털,마을 의뢰 안내,지역 평판 확인,하얀 협곡 도착,새 지역 진입 시 마을 허브 역할
NPC102,도윤,잡화상,상점,은방울 마을,잡화점,은방울 상회,18,상점/교환,QST_SILVERBELL_SHOP_001,SHP_SILVERBELL_001,DLG_DOYUN_SHOP,친절함,07:00-22:00,5,80,동전 주머니,저주 조각,소모품 판매,생활 재료 교환,은방울 마을 방문,중반 소모품과 일반 재료 공급 담당
NPC103,세린,방한복 재단사,상점,은방울 마을,재단소,재단사 조합,19,상점/제작,QST_TAILOR_001,SHP_TAILOR_001,DLG_SERIN_TAILOR,꼼꼼함,08:00-20:00,0,90,두꺼운 모피,끈적한 용암액,방한 장비 제작,의상 염색,서리발톱 곰 처치,설원 지역 생존 장비 제작 담당
NPC104,바로,마구간지기,보조,은방울 마을,마구간,은방울 마을,18,대화/이동,QST_STABLE_001,,DLG_BARO_STABLE,활발함,06:00-21:00,0,75,흰가시 털,독침,탈것 관리,빠른 이동 등록,은방울 마을 광장 발견,중반 이동 편의 기능 해금 NPC
NPC105,유나,여관 주인,상점,은방울 마을,따뜻한 종 여관,은방울 마을,18,상점/휴식,QST_INN_001,SHP_INN_001,DLG_YUNA_INN,다정함,상시,10,100,허브차,검은 단검 조각,휴식,버프 식사 판매,은방울 마을 방문,마을 체류와 버프 음식 루프 담당
NPC106,레오,경비대장,주요,은방울 마을,경비 초소,은방울 경비대,20,퀘스트,QST_GUARD_001,,DLG_LEO_GUARD,엄격함,상시,0,85,단단한 엄니,낡은 부적,치안 의뢰,현상수배 안내,눈무덤 망자 발견,마을 주변 반복 전투 의뢰 제공
NPC107,아린,종탑 주인,주요,은방울 마을,오래된 종탑,종탑 관리회,21,대화/퀘스트,QST_BELLTOWER_001,,DLG_ARIN_BELL,조용함,낮 시간,0,95,작은 빛 결정,공허의 파편,종탑 조사,마을 전설 해설,경비대장 의뢰 완료,마을 서브 스토리 중심 NPC
NPC108,모르간,떠돌이 연금술사,희귀,은방울 마을,임시 연구대,무소속,22,제작/거래,QST_ALCHEMY_001,SHP_ALCHEMY_001,DLG_MORGAN_ALCHEMY,수상함,밤 시간,20,70,독 포자 주머니,성소의 문장,특수 물약 제작,희귀 재료 교환,안개포자 만드라고라 처치,상태 이상 빌드용 특수 제작 NPC
NPC109,리샤,아이들 교사,보조,은방울 마을,작은 학교,은방울 마을,18,대화/수집,QST_SCHOOL_001,,DLG_RISHA_SCHOOL,상냥함,08:00-18:00,15,100,찢어진 주문서,녹슨 곡괭이,도감 힌트,수집 보상,마을 평판 10 달성,비전투 수집 동기를 주는 생활형 NPC
NPC110,케인,은퇴한 기사,희귀,은방울 마을,마을 외곽 훈련장,전 왕실 기사단,24,훈련/퀘스트,QST_KNIGHT_001,,DLG_KANE_TRAINING,무거움,05:00-19:00,0,100,낡은 왕실 문장,잿불 가루,전투 훈련,무기 숙련도 과제,왕실 궁수의 망령 처치,중반 전투 숙련 챌린지 담당
NPC111,피오,우편 배달부,보조,은방울 마을,우편함 앞,은방울 우체국,18,대화/전달,QST_MAIL_001,,DLG_PIO_MAIL,분주함,06:00-18:00,0,80,반딧불 가루,마른 오아시스 물병,전달 의뢰,지역 소식 전달,은방울 마을 방문,다른 마을과 퀘스트 라인을 연결
NPC112,노엘,성가대원,보조,은방울 마을,작은 예배당,마을 성가대,20,대화/버프,QST_CHORUS_001,,DLG_NOEL_CHORUS,온화함,저녁 시간,10,90,희미한 영혼석,암살자의 표식,축복 버프,마을 평판 보상,종탑 조사 완료,빛 속성 버프와 마을 분위기 강화 담당
