npc_id,npc_name,role,grade,region,location,affiliation,level_recommend,interaction_type,quest_id,shop_id,dialogue_set,default_mood,schedule,relationship_start,relationship_max,favorite_gift,disliked_gift,service_1,service_2,unlock_condition,designer_note
NPC001,엘라,마을 촌장,주요,초승달 마을,마을 회관,초승달 마을,1,대화/퀘스트,QST_MAIN_001,,DLG_ELLA_MAIN,차분함,상시,0,100,허브차,녹슨 무기,메인 퀘스트 안내,지역 정보,게임 시작,초반 동선과 세계관 소개 담당
NPC002,로완,대장장이,상점,초승달 마을,대장간,장인 길드,3,상점/강화,QST_SMITH_001,SHP_SMITH_001,DLG_ROWAN_SMITH,무뚝뚝함,06:00-22:00,0,80,철광석,젖은 천,장비 강화,수리,첫 장비 획득 후,강화 시스템 튜토리얼 담당
NPC003,미리,약초상,상점,초승달 마을,약초 상점,초승달 마을,2,상점/제작,QST_HERB_001,SHP_HERB_001,DLG_MIRI_HERB,상냥함,07:00-21:00,5,90,반딧불 가루,독 포자 주머니,회복약 판매,소모품 제작,초승달 숲 진입,소모품 루프와 상태 이상 해제 소개
NPC004,카이,길잡이,보조,초승달 숲,숲 입구,방랑자,4,대화/안내,QST_GUIDE_001,,DLG_KAI_GUIDE,활발함,낮 시간,0,70,작은 송곳니,금 간 루비,지역 안내,빠른 이동 안내,숲그늘 늑대 처치,필드 위험도와 이동 기능 안내
NPC005,베른,광산 감독관,주요,붉은 폐광,폐광 입구,광산 조합,8,퀘스트,QST_MINE_001,,DLG_BERN_MINE,초조함,상시,0,85,철광석,잿불 가루,던전 입장 관리,광산 의뢰,메인 퀘스트 1장 완료,폐광 던전 진입 명분 제공
NPC006,실렌,늪의 주술사,주요,속삭임 늪,늪지 제단,늪지 부족,12,대화/제작,QST_SWAMP_001,SHP_RITUAL_001,DLG_SILEN_RITUAL,신비로움,밤 시간,10,100,만드라고라 뿌리,불탄 성물,해독제 제작,의식 퀘스트,독 포자 주머니 획득,독 지역 공략의 핵심 NPC
NPC007,오르타,성소 문지기,주요,무너진 성소,성소 정문,성소 수호단,16,퀘스트,QST_SANCTUM_001,,DLG_ORTA_GATE,엄격함,상시,0,75,성소의 문장,검은 별 파편,성소 입장,보스 열쇠 교환,순례길 발견,첫 지역 보스 동선 연결
NPC008,니아,눈보라 사냥꾼,보조,하얀 협곡,사냥꾼 막사,협곡 사냥단,18,퀘스트/교환,QST_SNOW_001,SHP_HUNTER_001,DLG_NIA_HUNT,침착함,06:00-20:00,0,95,두꺼운 모피,뜨거운 꼬리뼈,사냥 의뢰,방한 장비 교환,하얀 협곡 도착,방한 장비와 사냥 반복 퀘스트 담당
NPC009,세라핀,항구 행정관,주요,은빛 항구,항구 사무소,은빛 항구,21,대화/퀘스트,QST_HARBOR_001,,DLG_SERAPHIN_PORT,예의바름,08:00-20:00,0,80,낡은 항해일지,독침,항구 출입 허가,난파선 조사 의뢰,은빛 항구 도착,항구 지역 정치와 해상 콘텐츠 연결
NPC010,마틴,밀수 정보상,희귀,은빛 항구,뒷골목,무소속,22,대화/거래,QST_BLACKMARKET_001,SHP_BLACK_001,DLG_MARTIN_SECRET,능글맞음,밤 시간,15,70,암살자의 표식,낡은 순례패,희귀 정보 판매,암시장 거래,달그림자 암살자 처치,선택형 암시장 콘텐츠 담당
NPC011,루멘,유리 숲 학자,주요,유리 숲,연구 천막,왕립 학회,26,퀘스트/분석,QST_GLASS_001,,DLG_LUMEN_RESEARCH,호기심 많음,상시,0,90,유리 날개,검댕 깃털,재료 감정,정령 연구 의뢰,유리 숲 진입,마법 저항 몬스터 공략 힌트 제공
